0.312243	0.58034	0	1	0.287757	0.0196602	0.6	0.6	5.19994	0
0.797619	0.728331	6.8947	2.32055	0.208201	0.0917713	0.859997	0.600045	5.19975	0.00179686
1.19821	0.543266	10.1772	0.676737	0.175892	0.0818295	1.11998	0.600225	5.19943	0.00538996
1.00744	0.549573	4.33467	3.08596	0.240614	0.0753241	1.37996	0.600629	5.19898	0.0107781
1.32588	0.713593	4.7376	2.6675	0.256979	0.0840166	1.6399	0.601347	5.19839	0.0179597
1.70428	0.660097	5.31398	1.39244	0.2478	0.0802235	1.89982	0.60247	5.19766	0.0269323
2.01827	0.723788	5.45149	1.23948	0.235564	0.0869675	2.1597	0.604086	5.19678	0.0376932
2.26723	0.720071	5.26432	0.924774	0.226834	0.0907545	2.41954	0.606284	5.19573	0.0502389
2.5572	0.751906	5.32716	0.822227	0.217701	0.0979052	2.67932	0.609155	5.1945	0.0645654
2.84415	0.731752	5.32667	0.531487	0.208698	0.100211	2.93904	0.612786	5.19309	0.080668
3.09328	0.740282	5.30051	0.479323	0.201508	0.102494	3.19869	0.617267	5.19147	0.0985415
3.3924	0.663709	5.33673	0.0629004	0.193864	0.0988423	3.45825	0.622685	5.18963	0.11818
3.7081	0.596367	5.43852	-0.227283	0.186277	0.0953984	3.71772	0.62913	5.18754	0.139576
3.99063	0.608257	5.48378	-0.144428	0.179538	0.0922417	3.97708	0.636689	5.18519	0.162724
4.27295	0.595522	5.49839	-0.167048	0.173708	0.0900415	4.23632	0.645449	5.18256	0.187614
4.53027	0.610613	5.34437	-0.0973546	0.168417	0.0879015	4.49542	0.655498	5.17962	0.214238
4.71763	0.682042	5.19981	0.180571	0.163631	0.0853558	4.75437	0.666921	5.17634	0.242587
4.96993	0.67625	5.04833	0.114984	0.159347	0.0829552	5.01315	0.679804	5.1727	0.272649
5.27232	0.669177	5.13788	0.0624906	0.155097	0.080947	5.27175	0.694234	5.16867	0.304413
5.53399	0.673114	5.27395	0.0785265	0.151173	0.0793342	5.53013	0.710295	5.16422	0.337868
5.8343	0.68263	5.33849	0.0891926	0.147871	0.0780548	5.78828	0.728072	5.15932	0.372999
6.07411	0.624398	5.13214	-0.118497	0.144594	0.0806602	6.04618	0.747647	5.15393	0.409793
6.32803	0.714366	5.11732	0.175767	0.141506	0.0797086	6.30379	0.769103	5.14803	0.448233
6.57835	0.742634	5.0663	0.23194	0.138571	0.0786921	6.5611	0.792523	5.14157	0.488305
6.82416	0.742745	5.05398	0.198595	0.135777	0.078557	6.81808	0.817988	5.13452	0.52999
7.06544	0.728165	4.87913	0.110694	0.133152	0.0803995	7.07469	0.845578	5.12685	0.573269
7.27791	0.806681	4.81476	0.330876	0.131061	0.0799964	7.3309	0.875373	5.11851	0.618123
7.57824	0.820451	5.15971	0.339722	0.128709	0.080257	7.58668	0.907449	5.10946	0.664531
7.83313	0.799643	5.15824	0.229982	0.126481	0.0831671	7.84199	0.941886	5.09966	0.712469
8.08095	0.816587	4.97793	0.231436	0.124389	0.0869647	8.0968	0.978759	5.08907	0.761915
8.3163	0.833578	4.95287	0.248799	0.122525	0.0917482	8.35106	1.01814	5.07766	0.812843
